id,title,year,poster_path,imdb_id
9697,Lady in the Water,,/ddNmoSy1Jd3PBF5XDZvrrBIfrja.jpg,tt0452637
126397,The Case of the Smiling Stiffs,,/klV0vLp39kv5t76AD8P6lSLsOhS.jpg,tt0071287
156527,The Key to Rebecca,,/fu9nIDt6Bwebj6pDDzjC7YtOAzx.jpg,tt0089412
1110149,Curse of the Seven flutes,,/pwwVCfs7Dauw0kfOWbjER6l2I4C.jpg,tt27450786
263116,Beck 14 - The Advertising Man,,/nglUrQeP5dNrJuVfrl8PMnj3yon.jpg,tt0306530
428591,A City Called Dragon,,/kxc4iPNCD5eE1MZlZOTisB8PnMq.jpg,tt0165372
1305457,Relatos de la medianoche,,/qOeeNuxdozjlR2CrcdLPBO3Qy6J.jpg,tt0098183
287454,Dentro,,/ijdHZlE5fdCkVcfX26Nk1tPaLgh.jpg,tt0403972
369649,Stranger at My Door,,/nSPOKbroz1mR1qKeNBgYLA08y4G.jpg,tt0102990
703145,The Island of Lies,,/b5Ws8kN2cBazdClVBomiayqtSSF.jpg,tt9843470
476092,Tergo,,/3XKWZu5TXFgkT065PAwd9elMUDu.jpg,tt6082264
1182635,Night Train,,/3pBOz0broKgSonjr0EOScdtoiYa.jpg,tt29419603
1162446,Twisted Neighbor,,/th78OAZ14AsI63UXMZL8ZijBoAo.jpg,tt28710831
255082,Hunting Season,,/2KewA0KhkCQdCjn9td5P5ygS1oj.jpg,tt2315338
1211903,The Dugout,,/cRcAV1oTZSyylOj4r1UhSMOYUmn.jpg,tt26909097
22090,Telefon,,/dryfRzxf9lFuLI8UPJnjSoa3QxZ.jpg,tt0076804
597080,The Halt,,/KGAYsdpFcJJUue0tVJs52KSJtu.jpg,tt10244756
690484,This Is the Way the World Ends,,/wlbYVXs33ei7VxRVZVI1TjcWoNq.jpg,tt1147781
253098,Midget Zombie Takeover,,/iczsYmYJnaGrPIeSohbyVWTyz0T.jpg,tt2673854
38649,Caravan to Vaccarès,,/rd38mAmbCmRSI0Tt1pnsGX68rdS.jpg,tt0071278
899534,A Christmas Carol,,/cNy4TwbyBoKFpS4OU82gekM7wkp.jpg,tt16048864
342106,Tierna es la Noche,,/djKCF85CIfqiUi1RIZU7DMZfC7B.jpg,tt0100782
1233491,Frankenstein,,/nmMHRD0Co3T8dfwcL0hpoRleFEN.jpg,tt30827829
9061,Just Cause,,/hbkS4UpgHcGhLlGy9YCX4WIJ4lu.jpg,tt0113501
370896,The Island Funeral,,/dxfpKHSofYCmhSn1CZpCoRouwSf.jpg,tt5112052
411693,From the Diaries of Ijon Tichy: A Voyage to Interopia,,/kZQ2f79rfoaoZp4axfdflW1F9K0.jpg,tt2401236
116468,Sidewalks of Bangkok,,/tYcsmarzOUCODGLemUgDoQcE1F7.jpg,tt0088300
642969,Immortal Spirit,,/th5o8RgCvQMDRWU7isYBliEwRzy.jpg,tt0216830
1576855,Mystery,,/nPzvhZ7utdgGfwjy1dCKFslauo3.jpg,tt29173926
51365,The Door,,/quSIt48GX1rp6AfOaHjeOHPohym.jpg,tt1223934
634904,Inherit the Viper,,/aaLEThX7CxKJuAQDnrZcecpzu0I.jpg,tt7349896
740743,Out of Body,,/e0HDIDgf0CLbYds6byxuMHeivE0.jpg,tt11815290
950250,L'Inconnu,,/6FWP45M0sNG6JNGfLwqiBRdz92i.jpg,tt0309708
84499,Million Dollar Mystery,,/qqjG2pokxjuFsRLeZXFVBatBok2.jpg,tt0093539
263135,The Man Who Burnt His Corpse,,/h5lpPFKg8ZdLSdniFTyZLzoZw3h.jpg,tt0214260
52825,Pursuit,,/cSwwhQdug1GU9n7OzEHPlYXqU18.jpg,tt0069137
528407,Unaware of the Nightmare,,/1k2AdIClHLDJ2UyoV4CPMNlP7oU.jpg,tt8496106
1457671,THE WOMAN WHOSE HEAD WAS AN ASTEROID,,/q4IwP6cc7f8jy2FLcqhayhcUXJH.jpg,tt36266248
1734506,Gemini,,/aLNW1jUXxIb2LO86yEwcpViztoL.jpg,tt30318924
55813,Hot Rod Horror,,/lji5k6nlEwX6FVI9uW8Dg0YsR5c.jpg,tt0955392
83972,Deadly Hero,,/gsaSxUhPUyYqDPr4M4xLj2Z2JO0.jpg,tt0074381
972711,The House In Between: Part 2,,/fSSLkGiSBlnXgXR3urC5cENarJ2.jpg,tt18548702
32152,Apt,,/cIl8JOPL6bw592AmdReEScDDd9s.jpg,tt0826024
3115,"Ebirah, Horror of the Deep",,/rYGsvMKjIBU5CAQrfHOv9xIfYhn.jpg,tt0060464
1204886,The Noisy Mansion,,/kUQyRQYgBPDrfHfTXw28ibSt2rw.jpg,tt35684021
145931,Billion Dollar Limited,,/4fVcAw27D1ALr3zBIkQTnJH949H.jpg,tt0034515
215015,August 15,,/o44qg3SaA3avuaLjX4YKBzh3OnU.jpg,tt1773290
28727,Dungeon Girl,,/2RGrCarCi7HeDvmGD1RAtfyxS1I.jpg,tt1173486
1562407,Mayflies,,/vC3Mppozb1bMI5bsgKsWuLTOHBF.jpg,tt29115034
269077,Strange Affair,,/nx1IOfWdwwrdj7aTua27MKQAbzm.jpg,tt0037317
89756,Captive,,/KCoF7mDYLVupVhLgaZMp5P4V0w.jpg,tt0229290
926557,Subscription-based,,/i9E8obYGF8Vb50v6ppajpKBVS31.jpg,tt10971134
1039868,Vanished into the Night,,/f83MF5KVFRs5zuFCPlb6UQV1Yo9.jpg,tt14034294
616211,Special,,/c1DW6SFpXQr8oasvcbAOS0Ex1d4.jpg,tt10133076
1255418,Curious Caterer: Foiled Plans,,/buJJMj1NLVufwPaFu1ApFHQQdxh.jpg,tt30796260
748099,Ashour The Lion's Heart,,/j7XK3F9Qn4mvKcaD3KUp8mvth4y.jpg,tt0366188
1234048,Tales of Terror: Make a Raid! West Japan Edition,,/5NpjGQVyxBNtFznYLs34rMoxdFA.jpg,tt21217500
912937,Nefarious,,/vBV1BPYthxa1tGvOPRHAJpoIj54.jpg,tt8542864
92397,Rites of Spring,,/iUzwDAaYvceIqSoN4apE5SldS3V.jpg,tt1227789
314961,Change Partners,,/rB9LRedTlDC6nVs8sdFDTzHqSVj.jpg,tt1730111
15255,Undisputed II: Last Man Standing,,/2gMCokqpIJoh6u5o06LlOZWsI3k.jpg,tt0443676
1032488,Broken Allegiance,,/4r0tHIwJ21Kh4BKhMzpOEUXBAr.jpg,tt0373735
24274,Dead & Buried,,/aMZD57u1M9TQAKf12OYUUcv9hjn.jpg,tt0082242
44581,The Fire Engine That Disappeared,,/dZDggSVoQiTtmKvaNmZCilLAFvN.jpg,tt0106476
1568707,Self-Tape,,/owTDomyqgAazb9VfyYZbxPxghjF.jpg,tt32612484
13455,Push,,/fHStfRjQGstuqtUz4Q22lbFU58M.jpg,tt0465580
1082421,Teddy,,/qgH5QIx145SMU7HuIfz444o7Sfh.jpg,tt26452925
1527265,Borealis,,/iDalVRlWh28la0kOBnQUwFKRIrD.jpg,tt33317797
486772,I Shall Never Return,,/kRZiHjx4on9qjWJQbSWwEZ0cGJY.jpg,tt5939018
438674,Dragged Across Concrete,,/11wQX0gv1kW1cjXsMTnoKXxhaqk.jpg,tt6491178
407410,The Strange Bedfellow,,/jfjc8p1DOQfCQYeeuI9U6lp6p5Y.jpg,tt0091405
1607399,GIFT-The destiny of guilt,,/t0yHxt81GzK0VXc2DKWRGR41ALy.jpg,tt39127065
3105,Frankenstein: The True Story,,/d9ZrCrFiIcZzc2AtLItAhWFsFnY.jpg,tt0070074
1201835,Soulmate,,/ajm3evYfryEr0eZx8Y2gkVQUSKW.jpg,tt16310522
291311,Cams,,/qpSQMPrnenUkWfbL5u5GpWMi7VE.jpg,tt3719830
1078919,Tormenta,,/8Zsd3EchCKkR3FrNGBj6VCX3b9n.jpg,tt6603092
667942,Super Madman,,/xCK1mdGizuHKAtfmr6gPBitWsqv.jpg,tt12181824
8453,Fanaa,,/4A17fF6K6WAvv4Ces0CgpMZRee4.jpg,tt0439662
1507413,When He Comes Back,,/otkmHj2kdfNAlC6HWX4ud7pLFcJ.jpg,tt5098368
54700,The Presence,,/zJrPVEZ1ZJE4guhxFvHYo7LllbA.jpg,tt1298594
1311653,The What's-Its-Face,,/2qJc0YZuUs3noUSBPtiotq1ABRs.jpg,tt31407125
